LUC,GCM,RCP,Timestep,LULC,Mean,Lower,Upper
BAU,CanESM2,rcp45,2029,Forest,155346.08,155137.475,155542.575
BAU,CanESM2,rcp45,2029,Grassland,45023.32,44594.875,45529.100000000006
BAU,CanESM2,rcp45,2029,Shrubland,110691.38,110516.55,110921.55
BAU,CanESM2,rcp45,2029,SnowIce,28,28,28
BAU,CanESM2,rcp45,2029,Water,18655,18655,18655
BAU,CanESM2,rcp45,2029,Wetland,2696.06,2645.475,2745.575
BAU,CanESM2,rcp45,2030,Agriculture,43840.93,43458.75,44205.45
BAU,CanESM2,rcp45,2030,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2030,Developed,28509.13,27759,29200.1
BAU,CanESM2,rcp45,2030,Forest,155310.92,155099.375,155519.825
BAU,CanESM2,rcp45,2030,Grassland,44970.25,44489,45464.175
BAU,CanESM2,rcp45,2030,Shrubland,110649.48,110460.775,110901.35
BAU,CanESM2,rcp45,2030,SnowIce,28,28,28
BAU,CanESM2,rcp45,2030,Water,18655,18655,18655
BAU,CanESM2,rcp45,2030,Wetland,2693.29,2638.375,2741.5249999999996
BAU,CanESM2,rcp45,2031,Agriculture,43800.25,43393.899999999994,44216.100000000006
BAU,CanESM2,rcp45,2031,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2031,Developed,28679.69,27891,29465
BAU,CanESM2,rcp45,2031,Forest,155274.49,155018.90000000002,155474.84999999998
BAU,CanESM2,rcp45,2031,Grassland,44920.54,44393.325,45458.05
BAU,CanESM2,rcp45,2031,Shrubland,110607.61,110401.475,110870.05
BAU,CanESM2,rcp45,2031,SnowIce,28,28,28
BAU,CanESM2,rcp45,2031,Water,18655,18655,18655
BAU,CanESM2,rcp45,2031,Wetland,2691.42,2634.7,2736.525
BAU,CanESM2,rcp45,2032,Agriculture,43757.23,43321.8,44165.25
BAU,CanESM2,rcp45,2032,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2032,Developed,28846.67,28006,29571.25
BAU,CanESM2,rcp45,2032,Forest,155240.4,154980.34999999998,155440.2
BAU,CanESM2,rcp45,2032,Grassland,44871.65,44325.85,45402.475000000006
BAU,CanESM2,rcp45,2032,Shrubland,110567.7,110357.42499999999,110855.625
BAU,CanESM2,rcp45,2032,SnowIce,28,28,28
BAU,CanESM2,rcp45,2032,Water,18655,18655,18655
BAU,CanESM2,rcp45,2032,Wetland,2690.35,2631.2250000000004,2743.05
BAU,CanESM2,rcp45,2033,Agriculture,43726.07,43330.425,44151.1
BAU,CanESM2,rcp45,2033,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2033,Developed,29034.03,28190.45,29716.7
